rank,place,population,lat,lon
1,Sydney,4293000,-33.865,151.2094
2,Brisbane,2099000,-27.4667,153.0333
3,Well_59,1000,-27.12893239,150.9205642
4,Well_46,1000,-27.09901409,150.9208796
5,Well_54,1000,-27.12321471,150.9209226
6,Well_50,1000,-27.11649532,150.920976
7,Well_44,1000,-27.10514514,150.9210814
8,Well_44T,1000,-27.1051452,150.921336
9,Well_27,1000,-27.0650554,150.9516905
10,Well_27T,1000,-27.06528196,150.9517914
11,Well_45,1000,-27.11182052,150.9248995
12,Well_45T,1000,-27.11195533,150.925205
13,Well_28,1000,-27.09892541,150.9258198
14,Well_28T,1000,-27.09910514,150.9261253
15,Well_26,1000,-27.07008757,150.9450623
16,Well_26T,1000,-27.07045012,150.9449563
17,Well_60,1000,-27.12975163,150.9284604
18,Well_22,1000,-27.07122142,150.9511253
19,Well_22T,1000,-27.07149343,150.9512817
20,Well_29,1000,-27.10560065,150.9295867
21,Well_29T,1000,-27.10560071,150.9298925
22,Well_51,1000,-27.11713067,150.9303991
23,Well_55,1000,-27.12358073,150.9312638
24,Well_19T,1000,-27.09797465,150.9335613
25,Well_30,1000,-27.11177728,150.9337111
26,Well_19,1000,-27.09797467,150.9337139
27,Well_30T,1000,-27.11218155,150.933864
28,Well_10,1000,-27.07752344,150.9507719
29,Well_18,1000,-27.07770429,150.9438861
30,Well_10T,1000,-27.0778409,150.9507719
31,Well_18T,1000,-27.07806703,150.9439366
32,Well_61,1000,-27.13039087,150.9371207
33,Well_20T,1000,-27.10455544,150.9379399
34,Well_56,1000,-27.12448908,150.9381915
35,Well_20,1000,-27.10510345,150.9381947
36,Well_11,1000,-27.080924,150.9534706
37,Well_52,1000,-27.11740606,150.9397719
38,Well_11T,1000,-27.08101456,150.9540356
39,Well_15,1000,-27.09824505,150.940131
40,Well_15T,1000,-27.09824508,150.9404365
41,Well_31,1000,-27.11191305,150.9414026
42,Well_31T,1000,-27.11118541,150.9414026
43,Well_57,1000,-27.12480426,150.9458327
44,Well_62,1000,-27.13138892,150.9460359
45,Well_6,1000,-27.08681773,150.9499542
46,Well_6T,1000,-27.08681772,150.9496969
47,Well_7,1000,-27.08704477,150.954545
48,Well_7T,1000,-27.08713551,150.9547973
49,Well_21,1000,-27.10546812,150.9471079
50,Well_21T,1000,-27.10546813,150.9472606
51,Well_53,1000,-27.11772567,150.9478202
52,Well_32,1000,-27.11195855,150.948941
53,Well_32T,1000,-27.11223255,150.9491958
54,Well_5,1000,-27.09071706,150.9484757
55,Well_9,1000,-27.09606745,150.9510302
56,Well_34,1000,-27.10537402,150.9517427
57,Well_34T,1000,-27.10555819,150.9521503
58,Well_8,1000,-27.09334676,150.9521485
59,Well_8T,1000,-27.0935735,150.9522494
60,Well_14,1000,-27.09951706,150.9540857
61,Well_58,1000,-27.12512353,150.954289
62,Well_14T,1000,-27.09951707,150.9543405
63,Well_63,1000,-27.13166327,150.9546456
64,Well_42,1000,-27.11772592,150.9552059
65,Well_12,1000,-27.09565882,150.9559702
66,Well_12T,1000,-27.0956139,150.956225
67,Well_33T,1000,-27.11041364,150.9565813
68,Well_33 ,1000,-27.11100652,150.9566324
69,Well_35,1000,-27.10351456,150.9587713
70,Well_35T,1000,-27.10360438,150.9591282
71,Well_41,1000,-27.1150444,150.9599942
72,Well_40,1000,-27.1109121,150.961522
73,Well_38TB,1000,-27.09316138,150.9620303
74,Well_38,1000,-27.09320628,150.9623871
75,Well_43,1000,-27.11799527,150.9625413
76,Well_80,1000,-27.12771047,150.9641719
77,Well_36,1000,-27.10496507,150.965189
78,Well_36T,1000,-27.10500998,150.9653417
79,Well_37T,1000,-27.09833998,150.965443
80,Well_39,1000,-27.11077708,150.9665648
81,Well_75,1000,-27.12271986,150.9701828
